Area_sqft,Property_Type,Year_Built,Distance_to_City_Center_km,Bedrooms,Bathrooms,Floor_Number,Price_INR
2963,0.0,2010,23.872595615973307,4,4,0,9995647
3750,0.0,2019,33.403976322793746,4,5,6,24263570
3527,0.0,2013,40.6641715265549,5,5,10,19662431
1358,0.0,2016,10.242437090526288,2,1,10,9308992
1438,0.0,2018,5.567510484239515,2,3,8,6186020
490,0.5,2025,3.009257387478501,1,1,3,8411220
3164,0.0,2021,39.069547648571984,3,3,7,11548741
1917,1.0,2021,5.946271087646616,3,4,3,21500532
4734,0.0,2023,28.47724945680883,6,6,16,19280576
4212,1.0,2011,14.43975781324805,5,5,3,37786539
1640,0.0,2021,25.565950976515275,2,3,20,6784099
584,0.0,2013,4.279909132086857,1,2,0,4009818
594,0.0,2022,26.324176395614902,1,1,2,4156737
415,0.0,2010,39.56852888232972,1,2,3,2304815
3552,0.0,2015,12.334364427574451,4,5,10,24907204
4074,0.0,2017,14.817534029333267,6,5,12,43403702
5634,0.0,2023,10.205990104677364,6,6,18,26504383
4033,0.0,2021,6.277729785736415,5,5,3,30500113
4780,1.0,2024,3.7216084097852806,5,5,1,59170032
545,0.0,2012,30.326018953687214,1,1,2,3044693
1839,0.5,2020,15.917617366775167,2,1,1,16499413
4468,0.0,2022,20.88460243313512,6,6,0,18211194
2298,0.0,2025,14.816750263339056,2,1,6,10259250
4144,0.0,2021,33.62259530633084,5,4,15,44916532
1893,1.0,2014,30.879876088727453,3,2,1,10284812
2298,1.0,2020,30.12467514046241,3,4,0,21772616
3107,0.0,2010,34.58257351750117,3,3,11,16290425
5231,0.0,2021,26.442134348135184,6,6,19,59405204
4894,0.0,2014,4.827553771338756,6,5,20,18820249
479,0.0,2010,19.315185927018955,1,1,14,2945521
4867,0.5,2014,14.597066244097844,6,6,1,23018880
5996,0.0,2024,15.738111601072454,6,5,2,28291579
1585,0.0,2018,9.221989896344578,1,1,17,17460032
3459,0.0,2016,7.665048703066958,5,4,12,13795597
3676,0.0,2016,21.25291064285874,5,6,19,14021452
3420,0.0,2018,43.720349947652295,5,6,10,19673564
4334,0.0,2022,1.4920122425729108,5,6,2,32500045
4545,0.5,2020,13.071434930545923,6,6,1,23374088
1837,0.0,2014,43.472317248030386,3,4,3,5730914
2568,0.5,2017,16.369828386323107,4,5,2,12848629
5503,0.0,2016,29.62661729346387,6,6,14,33562121
4136,1.0,2015,12.40758650963421,5,4,1,68525302
857,1.0,2015,24.62200914929251,1,1,0,4860071
2673,0.0,2016,8.222118287721797,4,3,5,31293833
3731,0.0,2019,24.47153305287937,5,4,7,15160975
2725,0.0,2021,21.827231224420238,3,2,5,19288412
5484,0.0,2012,37.64964673665914,6,5,2,17481793
2451,0.0,2020,36.27958646908606,4,3,20,24657075
2190,1.0,2014,8.614587657122808,2,3,2,35696398
3775,1.0,2021,42.34234325326568,4,5,2,20547438
5414,0.0,2023,17.829768350690426,6,5,4,40330363
550,1.0,2011,2.751322470457145,1,1,0,8855430
2453,0.5,2014,3.9060125263706085,3,2,1,35878449
3924,0.0,2024,19.130237978628188,4,5,15,30445519
2383,0.0,2021,39.99102350052611,2,3,11,14581780
2165,0.0,2017,7.456063182788009,2,2,20,9019090
4116,0.0,2022,21.889777816499922,5,6,1,17632782
4400,0.0,2023,24.47760162928701,5,5,17,30286074
1321,0.0,2016,40.15971492225521,2,3,10,7617041
1354,0.0,2021,1.052209538469302,2,2,2,11128721
484,0.0,2012,40.115739782968305,1,2,17,2651385
817,0.0,2022,12.519136692273623,1,1,0,9717972
4649,0.0,2016,39.28121011781463,5,5,1,16333692
3161,0.5,2011,19.36893065282731,3,4,1,13739998
1105,0.0,2025,15.068373907952724,1,1,4,4942334
3741,0.5,2013,44.55287351009209,5,6,2,42151082
5765,1.0,2019,35.320112560141304,6,6,1,55646088
772,0.0,2011,22.09078350876049,1,1,17,4370242
1494,1.0,2016,17.125215604926744,1,1,1,14922082
3673,0.0,2014,14.715231872621374,4,3,14,39939853
1303,0.0,2021,31.279054849999763,2,1,6,8204374
5264,0.5,2023,19.042267959987615,6,6,3,48946102
4716,0.0,2024,29.419008267855602,5,5,20,18722391
1582,0.0,2025,18.99027273814132,2,3,13,7025157
5727,0.5,2018,17.030641303698186,6,5,3,28520170
2685,0.0,2016,15.262715803457539,3,4,0,28111876
3298,1.0,2011,41.392683059009265,5,6,0,14730388
2153,1.0,2013,34.60316046801375,3,4,3,10498676
3149,0.0,2012,29.65263107379738,3,2,10,18215294
4889,0.5,2019,30.110359654605684,6,5,2,23251064
2209,1.0,2011,8.60784677288861,2,3,3,12607178
5773,1.0,2011,42.13302376213697,6,6,1,45377720
5492,0.0,2017,5.199758889702937,6,6,5,38276290
2796,0.0,2015,10.470278629750986,4,3,3,10646704
721,0.0,2012,1.5761084400713776,1,1,3,7747435
1603,1.0,2017,16.922007507666706,2,1,3,26823617
4071,0.0,2012,14.181960149901604,5,5,8,26185911
5272,0.0,2014,37.97474053941127,6,6,0,51199547
5882,0.0,2010,30.17556611145416,6,6,0,54040869
525,0.0,2022,35.78798238517904,1,1,3,2027055
5501,0.0,2010,7.117433462395534,6,6,9,33397962
2821,0.0,2019,25.9063891199994,3,2,14,10733874
5699,0.0,2021,22.29599305235086,6,6,4,22910776
3162,1.0,2011,19.475753114458676,3,4,0,45065767
4090,0.0,2020,44.70135422025245,5,6,8,38561790
3559,0.0,2016,20.37129923234057,4,5,2,13750866
3997,0.5,2010,5.256456032683417,5,5,0,18575043
3714,0.0,2016,1.9747263110054853,4,4,3,44912167
2977,0.0,2024,36.01167766742297,4,3,6,11789008
4572,1.0,2025,0.9295386088951656,6,6,2,57865395
4785,0.0,2024,41.34857796128776,6,5,14,53278118
3298,0.5,2019,9.77933482282855,5,5,1,17463227
4024,1.0,2018,39.728191061036725,5,6,1,21390863
2566,0.0,2014,35.842122692264475,3,3,6,14358375
2010,0.0,2020,9.856169832980045,2,2,14,8431451
2318,0.5,2020,37.715509581337045,3,2,3,18304397
5696,0.0,2023,14.79232128241978,6,5,5,25123814
617,1.0,2015,9.778485993580453,1,2,2,3644224
5220,1.0,2024,10.041892074752878,6,6,2,35866163
5400,0.0,2023,39.38004865122487,6,6,7,34314391
3263,0.0,2021,1.1498858755952943,4,4,8,14447354
3483,0.0,2019,33.42200125768158,5,6,10,36599571
4432,0.0,2020,36.211870820446116,6,6,5,16401518
5632,0.0,2016,16.989611874715095,6,6,15,21948327
4253,0.0,2023,31.91542713349499,6,6,16,17513057
2767,0.0,2021,40.775823642218754,4,4,14,27946079
2473,0.0,2017,24.68209861755072,4,5,11,25980281
790,0.0,2020,29.569079779212526,1,2,0,5114462
4550,0.0,2022,31.665290960115453,6,5,13,51286366
5959,0.0,2011,43.29313829058744,6,5,3,48792639
4397,0.0,2011,19.187401116845287,5,6,20,27137700
4646,0.5,2023,25.385036264683546,5,6,1,70936746
862,0.5,2025,21.28833460086658,1,1,0,7987610
5408,0.0,2018,14.548388000736761,6,5,4,36413320
1751,0.0,2015,42.46775107147495,3,3,11,5640089
5717,0.5,2016,22.280547662115833,6,5,0,46321225
1334,0.5,2021,41.91821122008042,1,1,3,6301322
1643,1.0,2014,44.600997351453145,3,4,3,13286444
3775,0.0,2010,38.6462697626715,4,4,11,19324042
910,0.0,2017,7.850635332404419,1,2,10,10634371
5268,0.0,2022,2.2094183986048286,6,6,12,38656275
4004,0.0,2025,24.59342190405387,6,6,14,16956299
4161,0.0,2010,24.44779106952819,6,5,5,23408611
4899,0.0,2024,27.41507911572046,6,5,7,56192921
4465,1.0,2010,3.0366681176061436,5,5,2,70047635
3542,0.0,2011,13.384899562690837,4,5,13,37035460
3309,0.0,2014,22.62154995698952,5,5,8,20148805
5613,0.0,2013,23.3886553862325,6,5,18,55556418
3166,0.0,2013,42.622740179103275,4,3,15,10251791
4970,0.0,2010,43.4651043510472,6,6,8,41421099
2008,1.0,2010,40.086642560952185,3,4,2,24147136
2090,0.0,2022,11.63973989546895,3,3,13,25386578
1169,0.5,2019,29.021369163513228,1,1,0,5526875
627,0.0,2011,12.697717206026637,1,1,2,3698400
2794,0.0,2022,42.80369254890072,4,5,10,16964098
1207,0.0,2022,23.021719662119217,2,3,2,14392196
947,0.0,2011,37.36222356926892,2,3,9,2983960
4471,0.0,2010,17.988706905111187,5,6,20,25361791
5916,0.0,2019,17.4754511316692,6,5,2,42934179
2292,0.0,2020,1.9997633324213746,2,1,16,28308515
1123,0.0,2017,20.946956208940577,2,3,0,4313483
3461,0.0,2012,29.141237347617217,5,4,8,20246265
2721,0.0,2017,6.278994609114472,3,2,1,31787477
514,0.0,2014,8.72567954868307,1,2,15,3613035
2650,0.0,2020,43.73779200732532,4,4,3,9327363
4435,0.0,2021,33.0561682885442,5,5,1,26553943
1548,1.0,2012,40.93010330919285,1,1,0,7076052
5717,0.0,2015,21.688627754645523,6,6,15,21834792
2142,1.0,2011,8.47325636017409,3,4,2,32684986
3360,0.0,2020,7.9035851453860015,4,5,19,24468247
3949,0.0,2010,24.603381378317945,5,6,3,13306926
5390,0.5,2022,32.33479333428289,6,5,2,27085549
4561,0.0,2018,41.257052864703475,5,5,14,44675656
4703,0.0,2012,18.618692205016778,5,6,0,28305776
677,0.0,2016,14.984096386466545,1,1,7,2587640
5120,0.0,2018,42.10579693347027,6,6,13,17320008
538,1.0,2024,20.685746413205493,1,2,3,5846953
1075,0.0,2013,23.66240745605835,1,1,5,3752698
2779,0.0,2018,20.49093961247649,3,3,13,17450415
5687,0.0,2013,34.686584112530255,6,5,3,33139668
2994,0.0,2011,3.6670628633998033,4,5,13,11869587
1466,0.5,2015,37.71975404711906,2,2,2,11054649
2236,1.0,2018,17.9410067401755,3,2,2,36448154
3336,0.0,2012,43.48315364055035,4,5,0,17045407
1080,0.0,2011,13.871214354774962,2,1,15,6155391
3279,0.0,2014,21.427991997448736,4,5,11,34742137
4766,0.0,2022,19.296568069676347,5,5,13,34268990
2747,0.0,2016,36.163402953778096,3,2,4,16685301
1465,0.0,2020,30.38476202367137,2,3,5,9757425
5194,1.0,2015,29.285185667498133,6,5,3,48689202
2020,0.0,2013,32.28745396623228,2,3,16,6639200
5846,1.0,2018,43.17877468732561,6,6,2,81264545
4780,1.0,2022,21.769043744445867,5,6,0,48700704
5432,0.0,2010,29.499995135096285,6,6,15,29664150
2358,0.5,2023,30.93335515660059,3,2,1,11875449
3443,0.0,2023,38.64005026834177,4,5,15,34951971
3726,0.0,2019,13.32548665901331,5,4,15,15698933
4906,0.0,2010,36.381916671140836,6,6,11,25515857
1129,0.0,2016,22.716955882762957,2,2,3,4025827
5251,0.5,2014,1.2191301192902824,6,6,3,26680283
1793,1.0,2024,7.311811054477007,2,1,3,12423794
3302,1.0,2013,37.851573767720524,4,5,0,16232625
450,0.0,2025,12.43861878376585,1,1,18,2051440
439,0.0,2023,13.71633537188496,1,2,5,1966706
1168,0.0,2014,33.214362176411704,1,2,5,6582785
3368,1.0,2012,31.02299427151215,5,6,1,28714029
917,1.0,2022,20.539575896569353,2,2,3,9917271
5102,0.0,2010,32.98787394988894,6,5,15,27193014
4876,0.0,2018,27.66308268669545,6,6,11,49776064
2419,0.0,2021,8.644503023105996,4,3,13,16836769
5918,1.0,2014,12.817645127953703,6,6,0,32948264
5335,0.0,2019,3.357148279805952,6,6,7,39659208
2329,1.0,2015,29.937948669215945,2,1,2,12398363
4724,0.0,2025,2.9668191809152056,6,6,6,22701704
5238,1.0,2024,33.55112978365267,6,5,3,33684535
4949,0.0,2017,24.2098275025184,6,6,19,19739105
4858,0.0,2019,20.025295271266568,6,6,18,19581452
1674,0.0,2023,27.05865563507819,3,3,1,6805951
4889,0.0,2015,28.07023558732496,6,6,16,49686282
3129,0.5,2019,26.50755691153243,4,5,0,24483283
1724,0.0,2012,32.23916030757712,3,3,13,5843664
5547,0.0,2025,28.80498970717369,6,6,10,64095897
1000,0.0,2023,21.997161283804317,2,1,8,4152437
5099,0.0,2017,37.41441094619685,6,5,8,53435104
2196,0.0,2011,43.828385151643644,2,2,16,18728678
712,0.0,2016,27.7602487398092,1,1,16,4465977
5599,0.5,2015,32.18843666288103,6,6,3,40472570
5548,0.0,2020,23.125993480625468,6,6,10,22417965
5242,0.0,2011,18.339242475177013,6,6,11,18448719
1062,0.0,2023,38.80593933786699,1,1,10,4067601
894,0.0,2013,9.162771461781976,1,1,9,5978293
5652,0.0,2022,31.218295000139445,6,6,8,64398403
4375,0.0,2024,6.606576799675156,6,6,17,19602762
3447,0.0,2012,34.614399769832964,5,6,17,18469535
2594,0.0,2010,10.941772668246246,3,3,10,9727308
4395,1.0,2012,27.512220682162276,5,4,0,41030695
2131,1.0,2016,6.699829553346482,3,3,3,22597670
4033,1.0,2024,0.5266780299319033,6,6,3,46054898
3301,0.0,2022,33.49395682972524,4,3,13,37649899
4827,0.0,2020,39.44710847314697,6,6,3,17387712
5968,0.0,2023,36.07908413874072,6,6,16,40240214
1175,0.0,2015,6.412144340095561,1,2,11,4853684
3915,0.0,2012,10.943293402432584,5,4,13,25170195
841,0.0,2022,37.18691467689756,1,2,5,3286770
3448,1.0,2011,1.2480600655458973,4,4,3,34963049
810,0.5,2023,24.014844651750902,1,1,1,7123387
2660,0.0,2015,37.6921456587285,3,3,10,25031366
508,0.0,2022,9.18739584785989,1,2,12,3860390
5040,0.0,2021,6.9125948673606015,6,6,13,67218283
3573,0.0,2016,8.586186580719144,4,4,12,39898688
5181,1.0,2011,34.12499138504252,6,5,3,24498668
3336,0.0,2023,43.45183363335456,4,3,2,12881542
5972,0.0,2016,9.893910947912898,6,5,7,23385925
5229,0.0,2012,5.334108415294164,6,6,5,20111684
2859,0.5,2023,12.55192424422555,3,3,0,16550384
2126,1.0,2023,5.433209319883417,2,2,3,24461856
3565,0.5,2015,0.7265124580336153,5,5,0,19007066
883,0.0,2014,20.516302436312014,1,1,1,5760203
4539,0.0,2021,33.93647521440604,6,5,0,29170297
1739,0.0,2021,14.345804998309633,2,1,4,11782223
1006,0.0,2024,15.230173591779739,2,3,12,7805505
5661,0.0,2010,10.639290301050531,6,5,13,35372174
2837,0.5,2021,6.35838297256887,4,4,1,16662940
1869,0.0,2018,3.4713997668465146,3,2,1,14042267
4230,1.0,2013,25.874924009509535,6,6,2,63779544
5952,0.5,2014,34.50137384224822,6,6,2,70795893
834,0.5,2012,22.913343356321924,2,1,2,6331933
4618,0.0,2016,38.06879157147028,5,5,5,27207465
3461,0.0,2025,21.04802067835208,5,4,9,15985431
2217,1.0,2019,3.6694521174479995,3,2,3,14555707
5121,0.5,2013,27.379694457571375,6,6,2,61411344
1351,0.0,2013,32.32191437566617,2,3,11,12921553
3206,0.0,2025,5.991958770246962,5,4,17,26558916
1275,0.5,2018,23.79875568208769,1,1,0,11151376
1908,0.0,2012,13.725163147615225,3,2,4,11855918
5180,0.0,2022,43.33308216940592,6,6,8,18689658
3694,0.0,2014,9.928237952476769,5,6,11,24684880
4504,0.0,2012,30.876747741645755,5,5,11,14628854
3817,0.5,2025,14.233105008437027,5,6,0,34718050
3345,0.0,2022,19.027571047670435,5,6,1,24510637
4617,0.5,2011,37.304131915654516,5,4,0,52048692
4975,0.0,2015,44.87450790938183,6,6,9,26416875
5817,0.5,2017,5.885481967189446,6,6,0,31913352
3287,1.0,2014,20.947947272003486,4,3,2,19490212
1532,0.0,2011,28.101926123453676,2,3,11,5073639
3283,0.5,2021,17.981470045071855,4,3,1,28297666
5038,0.0,2014,6.366957899571267,6,6,0,36583386
1545,1.0,2023,1.56246172183629,1,1,2,19292036
2518,0.0,2022,1.892955251041121,4,5,15,11981365
1598,0.0,2019,22.639030553635187,2,1,3,18169962
3946,0.0,2021,18.79451137589446,4,3,19,48394011
2144,0.0,2025,44.077890419647076,2,1,5,8174620
2159,0.0,2015,41.087057406546705,2,3,10,7050602
3490,0.0,2024,27.70006519072468,5,4,7,24752025
2152,0.0,2021,21.621989020096823,2,3,12,14977603
3564,0.0,2010,26.011688624161867,5,5,20,19216261
3880,0.0,2021,21.165733103202108,5,4,2,15433667
1476,0.0,2023,15.928349597309637,2,1,4,11078766
1421,0.0,2012,27.66147414675861,2,2,19,13364035
1391,0.0,2016,41.90101824405424,1,1,16,12993519
986,0.0,2018,29.246447421207467,2,3,10,6383379
957,1.0,2023,8.395827702681409,2,1,2,18515754
3886,0.0,2017,21.67653624561347,5,4,14,43027732
1971,0.0,2013,8.179572036107073,3,2,4,21550812
1555,1.0,2015,5.814880026607092,1,2,1,15006971
1041,0.0,2019,15.169694000985062,1,1,1,4201331
5174,0.0,2023,9.36339360251896,6,6,18,24149490
5762,0.0,2024,42.12208243864289,6,6,0,21545958
4283,0.0,2024,2.986112436327133,5,4,2,21095035
4586,0.5,2020,43.40419783777492,6,5,1,19493851
5865,0.0,2018,37.91579834345978,6,5,4,57463048
3593,0.5,2022,12.126756808476335,5,6,2,20077580
2806,0.0,2016,4.619545541029468,4,4,9,19631561
4277,0.5,2023,25.731419107259647,5,5,1,59852673
4441,1.0,2019,11.458561785858008,5,4,1,77194156
3152,0.0,2025,11.649477230551858,4,3,6,25144353
3585,0.0,2020,26.04120617260943,5,5,13,40296288
818,0.0,2011,20.865945736531675,1,1,3,4924918
5018,0.0,2015,23.05765636425328,6,6,19,17969524
2634,0.0,2025,14.699506868168921,4,4,0,11268407
5597,1.0,2017,14.92799120678826,6,6,1,32990117
1210,0.0,2010,44.97413130964448,1,1,6,6098896
2039,0.5,2020,17.998029436745814,3,2,3,29819319
3304,0.0,2010,10.422201488828136,5,4,12,11651846
3174,0.0,2010,31.848826798886222,3,4,19,17194675
2053,1.0,2013,35.37776289216198,3,4,0,17168090
4500,0.0,2011,10.967567009471043,5,6,19,16605883
4798,0.0,2016,5.365353819651969,6,6,10,19918305
2375,0.0,2013,13.585111630401691,2,2,15,24789684
2404,1.0,2016,23.87394327288592,4,5,3,39872055
3009,0.0,2021,17.444949645814894,4,5,4,12159515
4697,1.0,2019,7.378830672760687,5,5,3,31781466
5449,0.0,2020,1.5936767389105935,6,6,20,68188562
2091,1.0,2011,23.003467208241958,3,2,0,11113590
5614,0.0,2022,39.24082340834055,6,5,3,59254865
5190,0.0,2012,26.996951466830343,6,5,3,29828829
1225,0.0,2021,39.15176496750435,2,2,5,4465164
5687,0.5,2010,34.59461624287743,6,5,1,60870252
5508,1.0,2018,15.770347114056346,6,6,3,33897623
4169,0.0,2021,18.886611940098323,6,6,7,17857600
4492,0.0,2020,38.874333397467005,5,5,16,26280748
829,0.0,2015,31.890233464659918,1,1,0,2937982
4313,0.0,2022,25.393391306702433,6,5,5,29816359
4121,0.0,2020,42.65801839717378,6,5,3,25283093
1781,0.0,2024,2.576713401928456,2,3,19,14790448
2155,0.0,2019,38.630301907443275,3,4,20,8022182
3149,0.0,2022,14.680608010221926,3,4,3,38990841
4071,0.0,2019,29.385431293980442,6,5,4,27368856
5000,0.0,2016,41.21889559722186,6,6,9,28872175
5816,0.0,2020,16.254988153743756,6,5,9,41464032
5887,0.0,2013,22.53175468778095,6,6,19,21169351
3311,1.0,2013,14.857709095959232,5,5,0,52478533
1818,0.5,2019,31.83896321158698,3,3,0,14150385
4882,1.0,2022,6.304083915400896,6,6,3,55919072
5463,0.0,2019,34.00809558520245,6,6,13,19861526
2352,0.5,2022,35.240375493237345,2,2,1,19285912
2501,0.0,2017,3.4381390510120498,4,4,9,10442519
2430,0.0,2010,18.28830145130081,4,5,3,13959090
3134,0.0,2020,31.50809111309077,4,4,18,20766096
1378,0.0,2016,4.697776513325791,2,3,11,9880648
1161,1.0,2013,35.807099292630966,2,2,1,15574716
534,0.5,2013,29.090810691386498,1,1,1,6330032
3020,0.5,2017,21.11006406532134,4,3,2,13881211
2973,0.0,2015,4.72392802865135,4,5,18,33288045
2705,0.5,2014,3.6747842798811607,3,3,3,12933484
5925,0.0,2023,11.41195097893241,6,5,17,27070729
2748,0.0,2018,35.66609005126762,3,3,16,16789491
5545,0.0,2021,40.105590938532195,6,6,18,35503001
5962,0.0,2023,11.522747847176955,6,5,20,74901463
5510,0.0,2025,14.04683774677538,6,6,15,41181600
3411,0.0,2023,8.072284308784575,4,3,18,15505791
5765,0.0,2011,31.021245298923258,6,6,0,31935499
2086,0.5,2016,1.7325279326519505,2,2,0,11109750
2088,1.0,2011,41.92375180060648,2,2,1,9157607
5123,0.0,2025,12.73829831733908,6,5,11,39738830
3652,0.5,2023,34.78426303842199,5,4,1,18367341
780,1.0,2025,43.42348817318552,1,1,3,4563372
2330,0.0,2021,7.035839521206029,3,2,6,17543873
2216,0.5,2014,6.033286490818883,3,4,0,30448577
5693,1.0,2012,12.775089907290026,6,6,3,31582665
5162,0.5,2018,26.736138549239186,6,6,3,42709010
3790,0.0,2015,0.5599879999478388,5,4,16,44475759
1538,0.0,2015,27.463790710165007,1,1,11,5644852
541,0.0,2023,26.172419726396765,1,1,12,6361999
5023,1.0,2012,2.5420155074664,6,5,1,30075752
5667,1.0,2018,23.775699401910458,6,6,1,92953568
1924,0.0,2021,37.631340575657134,3,3,7,7127029
5906,1.0,2016,13.825754578601295,6,6,0,34248751
1452,0.0,2023,36.907529736464966,2,1,19,5621113
5456,0.0,2014,20.185806241094895,6,5,16,19827659
4609,0.0,2019,37.969947823638215,6,6,18,16838885
2455,1.0,2023,21.45844194867553,4,5,3,25743845
3775,0.0,2025,40.5866039413186,4,3,6,39710003
5515,1.0,2016,41.16603465112408,6,6,2,47817794
3774,0.0,2023,0.7878471715449447,4,4,16,31403540
4270,0.0,2019,17.667466383020322,6,6,6,52202765
4617,1.0,2011,39.9859933895161,6,5,2,20538794
4721,0.0,2015,1.1204789272398363,6,5,0,20087600
4524,0.0,2014,5.042694893897867,5,4,19,51796900
987,0.0,2015,19.676665375462594,1,1,11,6334172
1747,0.0,2020,44.12551350553077,3,4,17,16614731
433,0.0,2021,41.76814149359931,1,2,0,1654040
5824,0.0,2024,26.53523813194482,6,6,14,71471530
1474,0.0,2022,11.740697963029827,2,2,10,19592187
1944,0.5,2023,29.05733731316733,3,3,0,9858753
2580,0.0,2021,14.867997019927294,4,4,3,19269684
3663,1.0,2017,29.576686824699866,5,5,3,35396355
927,0.0,2021,8.03820389427229,2,2,13,6802594
3658,1.0,2024,27.280105944593128,4,4,1,23561761
3555,0.0,2024,31.278068695057485,5,6,2,25425025
1295,0.0,2012,32.29538542937463,1,1,9,4393791
